A股代码,A股简称,H股代码,H股简称,最新价,总市值(亿),每股收益,每股净资产,市净率,股息率(%),动态市盈率,静态市盈率,市盈率TTM,成立日期,上市日期,所属市场,所属行业,入选指数,主营业务
3010,若羽臣,,,31.01,70.13,8.9,48.86,13.41,26.14,49.62,49.62,49.62,2011-05-10,2020-09-25,深交所主板,互联网和相关服务,"国证2000,国证Ａ指,深市精选,中小300,中小创新",电子商务综合服务，为品牌方提供品牌定位、店铺运营、渠道分销、整合营销、数据挖掘、供应链管理等服务。
3011,海象新材,,,23.19,18.11,6.46,29.07,1.68,63.59,17.15,47.53,19.76,2013-12-09,2020-09-30,深交所主板,橡胶和塑料制品业,国证Ａ指,PVC地板的研发、生产和销售。
3012,东鹏控股,,,6.24,71.42,3.2,8.1,0.95,2.85,19.57,21.98,15.52,2011-11-04,2020-10-19,深交所主板,非金属矿物制品业,"国证2000,国证Ａ指,深市精选,中小创新",以瓷砖和洁具为代表的建筑卫生陶瓷产品的研发、生产和销售。
3013,地铁设计,,,13.42,53.67,7.59,16.61,1.69,-12.34,13.28,13.28,13.28,1993-08-06,2020-10-22,深交所主板,专业技术服务业,"国证Ａ指,深市精选,深证责任",城市轨道交通、市政、建筑等领域的勘察设计、规划咨询、工程总承包等。
3015,日久光电,,,15.68,38.78,7.98,20.94,3.89,13.27,42.16,42.16,42.16,2010-01-12,2020-10-21,深交所主板,计算机、通信和其他电子设备制造业,国证Ａ指,柔性光学导电材料的研发、生产和销售。
3016,欣贺股份,,,8.04,33.03,-0.8,12.79,1.26,19.64,-121.85,-50.18,244.37,2006-06-07,2020-10-26,深交所主板,纺织服装、服饰业,国证Ａ指,高端女装的设计、生产和销售。
3017,大洋生物,,,31.04,21.51,5.26,37.69,2.38,42.36,28.18,40.9,24.43,1976-01-01,2020-10-26,深交所主板,化学原料和化学制品制造业,国证Ａ指,无机盐、兽用原料药等化学原料产品的生产和销售。
3018,金富科技,,,54.77,130.02,4.94,57.42,8.9,391.65,141.16,141.16,141.16,2001-01-20,2020-11-06,深交所主板,橡胶和塑料制品业,国证Ａ指,塑料防盗瓶盖等塑料包装用品的研发、生产和销售。
3019,宸展光电,,,36.05,61.63,6.84,44.1,3.73,32.63,32.83,32.83,32.83,2015-04-14,2020-11-17,深交所主板,计算机、通信和其他电子设备制造业,"国证2000,国证Ａ指",定制化商用智能交互显示设备的研发、设计、生产和销售服务。
3020,立方制药,,,23.55,32.43,6.16,41.27,2.54,-22.35,27.55,27.89,27.77,2002-07-16,2020-12-15,深交所主板,医药制造业,"国证2000,国证Ａ指",医药产品的研发、生产、销售和医药零售业务。
3021,兆威机电,2692.0,兆威机电,97.54,202.2,5.89,156.72,7.49,-22.03,102.6,102.6,102.6,2001-04-19,2020-12-04,深交所主板,电气机械和器材制造业,"国证Ａ指,巨潮小盘,深成指R,深市精选,深证成指,中小300,中证500",从事微型传动系统、精密注塑件和精密模具的研发、生产与销售。
3022,联泓新科,,,24.77,330.54,1.63,24.77,4.36,74.44,87.28,108.21,57.15,2009-05-21,2020-12-08,深交所主板,化学原料和化学制品制造业,"国证Ａ指,巨潮小盘,深成指R,深市精选,深证300,深证成指,深证新兴,中小100,中小300,中小新兴,中证500",高分子材料和特种化学品的研发、生产和销售。
3023,彩虹集团,,,31.06,32.65,2.54,33.32,2.06,67.17,63.4,51.39,42.85,1994-03-02,2020-12-11,深交所主板,电气机械和器材制造业,国证Ａ指,电热毯、电热暖手器等系列家用柔性取暖器具以及电热蚊香液、电热蚊香片、盘式蚊香、杀虫气雾剂等系列家用卫生杀虫用品的研发、生产和销售。
3025,思进智能,,,13.67,30.95,9.41,16.15,3.13,-0.04,26.79,21.35,25.1,1993-01-15,2020-12-11,深交所主板,通用设备制造业,国证Ａ指,多工位高速自动冷成形装备和压铸设备的研发、生产与销售。
3026,中晶科技,,,38.06,36.42,3.49,40.0,7.49,29.63,112.21,216.64,108.62,2010-01-25,2020-12-18,深交所主板,计算机、通信和其他电子设备制造业,"国证2000,国证Ａ指",半导体硅材料的研发、生产和销售。
3027,同兴科技,,,24.15,25.32,3.23,27.67,1.83,53.75,42.67,42.67,42.67,2006-06-19,2020-12-18,深交所主板,生态保护和环境治理业,国证Ａ指,非电行业烟气治理综合服务商。
3028,振邦智能,,,28.22,19.91,2.73,37.08,2.34,-10.36,55.63,55.63,55.63,1999-07-15,2020-12-28,深交所主板,计算机、通信和其他电子设备制造业,"国证2000,国证Ａ指",高端智能控制器、变频驱动器、数字电源以及智能物联模块供应商。
3029,吉大正元,,,20.76,36.56,-5.82,36.5,3.92,-6.4,-41.4,-35.14,-74.83,1999-02-12,2020-12-24,深交所主板,软件和信息技术服务业,国证Ａ指,信息安全产品、服务及解决方案提供商。
3030,祖名股份,,,20.3,16.12,-0.2,23.83,2.49,12.21,132.73,-100.77,59.07,2000-02-18,2021-01-06,深交所主板,农副食品加工业,国证Ａ指,豆制品的研发、生产和销售。
3031,中瓷电子,,,124.78,424.45,8.44,133.08,8.94,180.15,91.78,104.39,95.22,2009-08-06,2021-01-04,深交所主板,计算机、通信和其他电子设备制造业,"国证Ａ指,巨潮小盘,深成指R,深市精选,深证300,深证成指,深证新兴,中小300,中小新兴,中证500,中证央企",氮化镓通信基站射频芯片与器件、碳化硅功率芯片及其应用产品、电子陶瓷系列产品的研发、生产和销售等。
3032,*ST传智,,,6.35,17.54,-5.35,7.27,2.04,16.51,-25.25,-19.08,-225.14,2012-09-04,2021-01-12,深交所主板,教育,,提供非学历、应用型计算机信息技术教育培训服务。
3033,征和工业,,,56.11,45.31,6.82,86.84,3.38,37.29,26.19,26.19,26.19,1999-10-09,2021-01-11,深交所主板,铁路、船舶、航空航天和其他运输设备制造业,国证Ａ指,各类链传动系统的研发、制造和销售。
3035,南网能源,,,9.18,347.73,1.81,11.0,5.0,118.94,100.36,100.36,100.36,2010-12-29,2021-01-19,深交所主板,科技推广和应用服务业,"国证Ａ指,巨潮小盘,深成指R,深证成指,深证新兴,中小300,中证500,中证央企",节能服务。
