A股代码,A股简称,H股代码,H股简称,最新价,总市值(亿),每股收益,每股净资产,市净率,股息率(%),动态市盈率,静态市盈率,市盈率TTM,成立日期,上市日期,所属市场,所属行业,入选指数,主营业务
600000,浦发银行,,,9.54,3177.38,0.5,14.39,0.43,-7.02,6.35,6.35,6.35,1992-10-19,1999-11-10,上交所,货币金融服务,"ESG 300,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180",金融与信托投资业务。
600004,白云机场,,,8.83,208.98,4.99,10.41,1.1,2.28,16.81,24.58,15.58,2000-09-19,2003-04-28,上交所,航空运输业,"ESG 300,国证Ａ指,巨潮小盘,责任指数,中证500",以航空地面客货过港服务为主业，以与航空主业相关的延伸服务为辅助，形成以客货过港为主线，配合客货代理、航空配餐、场所出租、住宿餐饮、广告、商贸等业务的立体服务系统。
600006,东风股份,,,6.29,125.8,-3.0,8.94,1.62,-11.72,-26.23,-26.23,-26.23,1999-07-21,1999-07-27,上交所,汽车制造业,"国证Ａ指,中证央企",开发、设计、生产销售汽车、汽车发动机及其零部件、铸件。
600007,中国国贸,,,21.73,218.88,10.5,22.48,2.25,1.31,18.21,18.21,18.21,1997-10-15,1999-03-12,上交所,房地产业,"国证Ａ指,上证380,责任指数,中证500",开展旅游、商务服务设施的经营与管理。
600008,首创环保,,,3.06,224.62,2.06,3.36,1.08,5.88,12.68,12.68,12.68,1999-08-31,2000-04-27,上交所,水的生产和供应业,"ESG 300,国证Ａ指,巨潮小盘,上证380,中证500",公用基础设施的投资及管理；高科技产品的技术开发等。
600009,上海机场,,,27.22,557.0,3.84,34.92,1.61,-13.78,28.62,35.02,31.09,1998-02-11,1998-02-18,上交所,航空运输业,"国证Ａ指,沪深300,巨潮大盘,上证180",机场建设、施工、运营管理和与国内外航空运输有关的地面服务。
600010,包钢股份,,,2.77,869.25,0.25,3.41,2.41,56.67,335.77,335.77,335.77,1999-06-29,2001-03-09,上交所,黑色金属冶炼和压延加工业,"国证Ａ指,沪深300,巨潮大盘,上证180,中证A100",生产、销售黑色金属、钢铁制品及其压延加工产品
600011,华能国际,902.0,华能国际电力股份,6.99,768.74,3.19,8.49,1.69,2.64,7.62,7.62,7.62,1994-06-30,2001-12-06,上交所,电力、热力生产和供应业,"ESG 300,ESG 40,国证Ａ指,沪深300,巨潮大盘,上证180,中证央企",投资、建设、经营管理电厂；开发、投资、经营以出口为主的其他相关企业。
600012,皖通高速,995.0,安徽皖通高速公路,16.18,188.59,6.11,17.98,2.16,-4.63,14.72,14.72,14.72,1996-08-15,2003-01-07,上交所,道路运输业,"国证2000,国证Ａ指,上证380,中证红利",持有、经营及开发安徽省境内外的收费高速公路及公路。
600015,华夏银行,,,7.18,1104.8,0.59,8.62,0.36,-3.69,4.2,4.2,4.2,1992-10-14,2003-09-12,上交所,货币金融服务,"国证Ａ指,国证红利,红利指数,沪深300,巨潮大盘,上证180,中证红利",吸收人民币存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项；提供保管箱服务；外汇存款；外汇贷款；外汇汇款等。
600016,民生银行,1988.0,民生银行,3.74,1326.28,0.39,5.48,0.29,-0.85,5.36,5.36,5.36,1996-02-07,2000-12-19,上交所,货币金融服务,"国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,央视50,中证红利",经营吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据贴现；发行金融债券等。
600017,日照港,,,3.0,92.27,1.43,3.37,0.66,-0.7,18.65,18.65,18.65,2002-07-15,2006-10-17,上交所,水上运输业,"国证2000,国证Ａ指",煤炭、矿石等杂货的装卸、堆存等港口业务。
600018,上港集团,,,4.92,1143.74,6.74,5.86,0.81,-7.08,8.44,8.44,8.44,1988-10-21,2006-10-26,上交所,水上运输业,"ESG 40,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180",集装箱业务、散杂货业务、港口服务和港口物流业务。
600019,宝钢股份,,,6.38,1389.7,2.81,7.83,0.68,1.05,14.72,18.88,13.09,2000-02-03,2000-12-12,上交所,黑色金属冶炼和压延加工业,"ESG 300,ESG 40,分析师指数,国证A50,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,责任指数,中证A100,中证新兴,中证央企",钢铁冶炼、加工，电力、煤炭、工业气体生产等。
600020,中原高速,,,3.81,85.62,1.17,4.96,0.74,-9.72,13.62,13.62,13.62,2000-12-28,2003-08-08,上交所,道路运输业,"国证2000,国证Ａ指",高等级公路、大型和特大型独立桥梁等交通基础设施项目融资、投资、开发建设和经营管理。
600021,上海电力,,,17.88,504.44,2.56,31.78,2.48,110.11,18.23,18.23,18.23,1998-06-12,2003-10-29,上交所,电力、热力生产和供应业,"ESG 300,国证Ａ指,巨潮中盘,上证380,中证500,中证央企",从事火力发电厂的运营，向用户提供电力和热力产品。
600022,山东钢铁,,,1.47,157.27,0.41,1.83,0.84,13.08,-716.37,148.45,-18.03,2000-12-29,2004-06-29,上交所,黑色金属冶炼和压延加工业,"国证Ａ指,巨潮小盘",以生产、销售钢材、钢坯等钢铁产品为主。
600023,浙能电力,,,5.8,777.71,5.0,5.83,1.04,9.23,10.67,10.03,9.36,1992-03-14,2013-12-19,上交所,电力、热力生产和供应业,"国证Ａ指,沪深300,巨潮大盘,上证180",电力、燃气及水的生产和供应
600025,华能水电,,,9.77,1820.26,4.13,10.66,2.65,8.19,21.14,21.94,18.11,2001-02-08,2017-12-15,上交所,电力、热力生产和供应业,"国证Ａ指,国证环保,沪深300,巨潮100,巨潮大盘,内地低碳,上证180,中证新兴,中证央企",水力发电项目的开发、投资、建设、运营与管理。
600026,中远海能,1138.0,中远海能,21.45,819.82,4.8,27.17,2.53,117.77,29.04,29.04,29.04,1996-07-26,2002-05-23,上交所,水上运输业,"ESG 300,国证Ａ指,沪深300,巨潮中盘,上证380,中证央企",海洋货物运输，主要运输货种是油品和以煤炭为主的干散货物，主要运输地区在中国沿海。
600027,华电国际,1071.0,华电国际电力股份,4.89,450.65,3.11,5.9,1.18,-11.09,9.35,9.35,9.35,1994-06-28,2005-02-03,上交所,电力、热力生产和供应业,"ESG 40,国证Ａ指,沪深300,巨潮中盘,上证180,中证央企",提供电力和热力。
600028,中国石化,386.0,中国石油化工股份,5.45,5164.01,1.64,8.11,0.79,-0.04,20.72,20.72,20.72,2000-02-25,2001-08-08,上交所,石油和天然气开采业,"ESG 300,分析师指数,国证A50,国证Ａ指,国证红利,红利指数,沪深300,巨潮100,巨潮大盘,上证180,上证50,中证A100,中证红利,中证央企",非煤矿山（石油、天然气等）、危险化学品（乙烯、丙烯、丁二烯、石脑油等）、重油、橡胶及其他石油化工原料和产品的生产、储存、销售等。
600029,南方航空,1055.0,中国南方航空股份,5.62,757.41,0.77,8.46,2.86,-1.4,118.83,118.83,118.83,1995-03-25,2003-07-25,上交所,航空运输业,"国证Ａ指,沪深300,巨潮大盘,中证央企",提供国内、香港地区及国际航空客运、货运及邮运服务。
600030,中信证券,6030.0,中信证券,26.48,3224.35,1.49,32.24,1.17,7.82,11.63,13.05,9.6,1995-10-25,2003-01-06,上交所,资本市场服务,"分析师指数,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,上证50,中证央企",主要从事证券承销和上市推荐证券自营买卖资产管理和证券代理买卖等业务。
600031,三一重工,6031.0,三一重工,19.6,1660.98,4.9,24.29,2.04,4.62,21.43,21.43,21.43,1994-11-22,2003-07-03,上交所,专用设备制造业,"ESG 300,ESG 40,分析师指数,国证A50,国证Ａ指,沪深300,巨潮100,巨潮大盘,上证180,上证50,责任指数,中证A100,中证新兴",工程机械产品及配件的开发、生产和销售。
600032,浙江新能,,,12.04,289.52,1.26,14.1,2.24,54.99,54.02,51.11,35.41,2002-08-01,2021-05-25,上交所,电力、热力生产和供应业,"国证Ａ指,巨潮小盘,上证380,中证500",水力发电、光伏发电、风力发电等可再生能源项目的投资、开发、建设和运营管理。
600033,福建高速,,,3.64,99.9,6.61,4.96,0.8,3.41,10.53,10.53,10.53,1999-06-28,2001-02-09,上交所,道路运输业,"国证2000,国证Ａ指",公路的开发与建设。
600035,楚天高速,,,3.8,61.18,1.91,4.48,0.69,-8.21,11.33,11.33,11.33,2000-11-22,2004-03-10,上交所,道路运输业,"国证2000,国证Ａ指",收费公路的投资、建设及经营管理；物联网应用终端产业
600036,招商银行,3968.0,招商银行,39.81,8212.38,1.16,45.54,0.92,2.14,6.69,6.69,6.69,1987-03-31,2002-04-09,上交所,货币金融服务,"ESG 300,分析师指数,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,上证50,央视50,责任指数,中证A100,中证红利,中证央企",经营吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据贴现；发行金融债券等。
600037,歌华有线,,,7.59,105.64,-0.35,9.79,0.83,9.16,307.86,307.86,307.86,1999-09-29,2001-02-08,上交所,电信、广播电视和卫星传输服务,"国证Ａ指,中证央企",广播电视网络的建设开发，经营管理和维护；广播电视节目收转、传送；广播电视网络信息服务；卫星广播电视节目广告的设计、制作等。
600038,中直股份,,,33.71,225.5,1.16,41.5,1.57,-6.04,42.4,42.4,42.4,1999-07-30,2000-12-18,上交所,铁路、船舶、航空航天和其他运输设备制造业,"国证Ａ指,巨潮中盘,上证380,中证500,中证央企",航空产品及零部件的开发、设计研制、生产和销售，航空科学技术开发、咨询、服务，机电产品的开发、设计研制、生产和销售。
600039,四川路桥,,,10.04,873.04,3.06,10.65,1.76,24.09,11.28,12.11,12.35,1999-12-28,2003-03-25,上交所,土木工程建筑业,"国证Ａ指,红利指数,沪深300,巨潮中盘,上证180,中证红利",各级公路工程和桥梁、隧道工程的施工。
600048,保利发展,,,5.87,702.67,0.42,8.97,0.37,-32.3,67.91,67.91,67.91,1992-09-14,2006-07-31,上交所,房地产业,"ESG 300,ESG 40,分析师指数,国证A50,国证Ａ指,国证红利,沪深300,巨潮大盘,上证180,责任指数,中证A100,中证央企",本公司的主营业务是房地产开发、销售、租赁及其物业管理。
600050,中国联通,,,4.5,1394.57,2.95,5.84,0.82,-12.91,16.25,15.42,16.46,2001-12-31,2002-10-09,上交所,电信、广播电视和卫星传输服务,"ESG 40,国证Ａ指,沪深300,巨潮100,巨潮大盘,上证180,上证50,责任指数,中证A100,中证新兴,中证央企",本公司通过联通BVI公司及其子公司中国联合网络通信（香港）股份有限公司控股中国联合网络通信有限公司，中国联合网络通信有限公司是一家在中国境内提供综合电信服务的大型电信公司，其主营业务为在中国境内提供语音通话、增值服务、宽带及移动数据服务、数据及其他互联网应用以及电路及网元租赁服务等。
600051,宁波联合,,,7.35,22.85,0.86,8.83,0.67,11.2,27.08,27.08,27.08,1994-03-31,1997-04-10,上交所,批发业,国证Ａ指,能源、交通、通讯、市政基础设施、环保设备、仪器仪表、普通机械、电器产品的开发、制造等。
600052,东望时代,,,4.58,38.66,-13.36,5.88,1.43,12.81,-9.81,-10.54,43.91,1993-07-13,1997-04-15,上交所,商务服务业,国证Ａ指,影视剧的投资、制作、发行。
600053,九鼎投资,,,14.33,62.13,-11.55,26.25,2.42,6.23,-19.1,-23.16,-93.31,1997-04-14,1997-04-18,上交所,资本市场服务,国证Ａ指,私募股权投资管理业务，房地产开发与经营。
600054,黄山旅游,,,12.17,62.47,5.09,14.76,1.86,4.48,30.35,30.35,30.35,1996-11-18,1997-05-06,上交所,公共设施管理业,"国证2000,国证Ａ指",宾馆、索道等旅游业务。
600055,万东医疗,,,14.71,103.42,-3.96,18.88,2.32,-15.89,-45.39,-45.39,-45.39,1997-05-12,1997-05-19,上交所,专用设备制造业,"国证2000,国证Ａ指",各类型医用诊断X射线机的生产、销售和开发。
600056,中国医药,,,10.43,155.97,1.69,12.46,1.32,4.14,30.39,29.14,25.73,1997-05-08,1997-05-15,上交所,批发业,"国证Ａ指,巨潮小盘,中证央企",经营医疗器械
600057,厦门象屿,,,7.38,154.43,1.95,9.3,1.36,22.92,16.21,16.21,16.21,1997-05-23,1997-06-04,上交所,商务服务业,"国证Ａ指,巨潮小盘,上证380,中证红利",物流园区相关项目的开发经营，房地产租赁服务。
600058,五矿发展,,,11.21,120.16,0.08,16.58,2.46,59.01,628.99,628.99,628.99,1997-05-21,1997-05-28,上交所,批发业,"国证Ａ指,中证央企",进出口贸易，国内贸易，高新科技，金融，国际招标投标，国际货运，酒店经营。
600059,古越龙山,,,9.0,82.04,3.36,11.66,1.39,4.77,36.41,36.9,33.06,1997-05-08,1997-05-16,上交所,酒、饮料和精制茶制造业,"国证2000,国证Ａ指",绍兴黄酒的生产销售。
600060,海信视像,,,24.34,316.46,6.3,26.68,1.49,4.37,12.94,12.94,12.94,1997-04-17,1997-04-22,上交所,计算机、通信和其他电子设备制造业,"ESG 300,国证Ａ指,巨潮中盘,上证380,中证500",电视机等家用电器。
600061,国投资本,,,6.62,423.28,1.1,8.76,0.78,-1.68,12.91,12.91,12.91,1997-05-13,1997-05-19,上交所,资本市场服务,"国证Ａ指,沪深300,巨潮中盘,上证180,中证央企",证券、信托、公募基金、期货、保险等
600062,华润双鹤,,,18.05,187.4,9.9,22.04,1.61,1.98,11.38,11.38,11.38,1997-05-16,1997-05-22,上交所,医药制造业,"国证Ａ指,巨潮小盘,责任指数,中证500,中证央企",加工、制造制剂药品、化学、生物医药原料、医药包装材料。
600063,皖维高新,,,6.89,142.56,2.89,8.15,1.68,53.45,31.51,32.85,26.18,1997-05-23,1997-05-28,上交所,化学原料和化学制品制造业,"国证2000,国证Ａ指",化纤及化工产品的生产销售。
600064,南京高科,,,8.16,141.2,4.26,9.47,0.72,16.57,8.0,7.71,5.63,1992-08-08,1997-05-06,上交所,房地产业,"国证2000,国证Ａ指,上证380,中证红利",市政基础设施建设、土地开发及物业管理等。
600066,宇通客车,,,36.97,818.49,17.05,38.5,5.25,40.14,14.74,14.74,14.74,1997-01-08,1997-05-08,上交所,汽车制造业,"ESG 300,ESG 40,国证Ａ指,沪深300,巨潮中盘,上证180,责任指数,中证新兴",大中型客车及其附件的生产和销售
600067,冠城新材,,,3.95,54.97,0.8,5.15,0.98,86.76,73.61,73.61,73.61,1988-04-03,1997-05-08,上交所,电气机械和器材制造业,国证Ａ指,特种漆包线业务和房地产开发业务
600071,凤凰光学,,,20.53,57.81,1.83,25.66,11.33,5.82,167.93,167.93,167.93,1997-05-23,1997-05-28,上交所,仪器仪表制造业,"国证2000,国证Ａ指,中证央企",光学元件加工和锂电芯加工，智能控制器业务。
600072,中船科技,,,13.51,146.36,-2.48,14.51,2.09,12.77,-16.66,138.45,-10.61,1997-05-28,1997-06-03,上交所,土木工程建筑业,"国证Ａ指,巨潮小盘,中证央企",工程设计、勘察、咨询及监理、工程总承包、新能源行业等业务。
600073,光明肉业,,,5.84,54.76,-4.59,8.51,1.17,-29.21,-41.35,-41.35,-41.35,1997-06-27,1997-07-04,上交所,农副食品加工业,"国证2000,国证Ａ指",资产经营，电子商务，信息采集，信息加工，信息发布，经济信息服务，食品。
600075,新疆天业,,,6.37,108.79,-0.28,8.13,1.22,51.31,-190.6,-190.6,-190.6,1997-06-09,1997-06-17,上交所,化学原料和化学制品制造业,国证Ａ指,农用塑料制品、化工产品生产和销售、种殖业。
600076,康欣新材,,,3.29,44.24,-6.02,4.72,1.16,66.16,-11.13,-13.26,-17.51,1993-09-01,1997-05-26,上交所,木材加工和木、竹、藤、棕、草制品业,国证Ａ指,集装箱底板等优质、新型木质复合材料的研发、生产和销售以及营林造林和优质种苗培育、销售。
600078,澄星股份,,,12.72,84.28,1.74,14.95,5.15,144.15,1016.16,1016.16,1016.16,1994-06-08,1997-06-27,上交所,化学原料和化学制品制造业,国证Ａ指,化学产品、丝绢纺织业，磷化工产品。
600079,ST人福,,,18.51,285.64,6.78,23.66,1.6,-10.01,16.28,16.28,16.28,1993-03-30,1997-06-06,上交所,医药制造业,,医药产业产品的生产、研发和销售等。
600080,金花股份,,,7.93,29.6,3.94,9.35,1.87,8.75,37.79,39.67,64.38,1996-02-14,1997-06-12,上交所,医药制造业,国证Ａ指,医药保健品、旅游开发、贸易、电子产品开发等。
600081,东风科技,,,10.66,58.95,1.45,16.55,1.29,-26.07,312.94,312.94,312.94,1997-06-28,1997-07-03,上交所,汽车制造业,"国证2000,国证Ａ指,中证央企",汽车仪表系统、饰件系统、制动系统、汽车电子系统及金属铸件产品、热管理系统、动力总成部件系统业务布局。
600082,ST海泰,,,2.93,18.59,2.0,5.68,1.06,-1.01,31.33,197.55,586.22,1992-11-28,1997-06-20,上交所,批发业,,工业园区运营、高新技术产业投资、孵化服务、贸易等。
600084,中信尼雅,,,6.52,73.27,0.84,8.01,5.66,19.2,617.38,604.26,36755.17,1997-07-07,1997-07-11,上交所,酒、饮料和精制茶制造业,"国证Ａ指,中证央企",葡萄酒的生产、销售；农业开发；货物及技术的进出口经营。
600085,同仁堂,,,27.69,379.76,5.33,37.86,2.78,-22.98,31.93,31.93,31.93,1997-06-18,1997-06-25,上交所,医药制造业,"国证Ａ指,沪深300,巨潮中盘,上证180,央视50",制药、中药生产销售。
600088,中视传媒,,,14.16,56.32,-0.91,20.01,4.49,-14.21,-313.62,-313.62,-313.62,1997-06-06,1997-06-16,上交所,广播、电视、电影和录音制作业,"国证2000,国证Ａ指",为剧组提供拍摄场地及服务、并对中外旅客提供旅游服务；设计，制作，发布，代理各类广告业务，文化经纪。
600089,特变电工,,,27.68,1398.61,2.64,33.28,2.0,143.66,23.49,23.49,23.49,1993-02-26,1997-06-18,上交所,电气机械和器材制造业,"ESG 300,国证Ａ指,国证环保,沪深300,巨潮大盘,内地低碳,上证180,中证A100,中证新兴",变压器、电线电缆及辅助设备的制造和销售。
600094,大名城,,,4.83,102.7,0.94,5.92,1.09,50.94,77.83,78.27,600.89,1996-07-18,1997-07-03,上交所,房地产业,"国证2000,国证Ａ指",房地产综合开发，建造、销售商品房，物业管理，物业租赁，公共基础设施开发与建设，建筑装饰安装工程。
600095,湘财股份,,,9.34,267.05,1.05,14.57,2.18,10.79,57.54,57.54,57.54,1994-03-25,1997-07-08,上交所,资本市场服务,"国证Ａ指,巨潮小盘,上证380,中证500",证券服务业，贸易、非转基因大豆深加工、制药、防水卷材生产等。
600096,云天化,,,34.0,619.82,10.92,45.62,2.52,64.42,12.02,12.02,12.02,1997-07-02,1997-07-09,上交所,化学原料和化学制品制造业,"国证Ａ指,红利指数,巨潮中盘,上证380,中证500,中证红利",化肥、化工原料及产品的生产、销售。
600097,开创国际,,,10.76,25.92,2.27,15.72,1.12,12.43,35.08,35.08,35.08,1997-06-10,1997-06-19,上交所,渔业,国证Ａ指,远洋捕捞，海淡水养殖；水产品加工和贸易，食品销售
600098,广州发展,,,7.22,253.12,3.0,8.5,0.93,20.13,10.91,10.91,10.91,1997-07-11,1997-07-18,上交所,电力、热力生产和供应业,"国证Ａ指,巨潮小盘,中证500",从事电力产业项目的设计、投资、工程总承包建设、生产、管理、销售。
600099,林海股份,,,11.26,24.67,2.13,12.18,4.52,11.82,100.49,100.49,100.49,1997-06-28,1997-07-04,上交所,铁路、船舶、航空航天和其他运输设备制造业,"国证Ａ指,中证央企",林业及园林动力机械、喷灌机械的生产和销售。
600100,同方股份,,,8.59,287.79,0.28,10.27,1.78,20.31,170.05,204.66,65.52,1997-06-25,1997-06-27,上交所,计算机、通信和其他电子设备制造业,"国证Ａ指,巨潮小盘,中证央企",计算机及信息技术。
600101,明星电力,,,9.97,54.62,4.47,13.11,1.77,-13.15,29.66,29.66,29.66,1988-04-29,1997-06-27,上交所,电力、热力生产和供应业,"国证2000,国证Ａ指,中证央企",电力生产、供应。
600103,青山纸业,,,5.14,113.71,1.21,5.72,2.91,143.83,210.62,210.62,210.62,1993-04-01,1997-07-03,上交所,造纸和纸制品业,"国证2000,国证Ａ指",纸浆、纸和纸制品生产销售等。
600104,上汽集团,,,13.89,1596.69,1.82,20.63,0.53,-9.35,15.8,15.8,15.8,1997-11-24,1997-11-25,上交所,汽车制造业,"国证A50,国证Ａ指,国证红利,沪深300,巨潮100,巨潮大盘,上证180,上证50,央视50,责任指数,中证新兴",汽车，摩托车，拖拉机等各种机动车整车，机械设备，总成及零部件的生产、销售。
600105,永鼎股份,,,48.5,709.07,0.73,50.07,21.37,677.87,690.48,303.49,111.61,1994-06-30,1997-09-29,上交所,电气机械和器材制造业,"国证2000,国证Ａ指",通信光缆、电缆。
600106,重庆路桥,,,6.11,81.2,1.21,8.23,1.53,18.32,95.37,71.23,76.47,1997-06-13,1997-06-18,上交所,道路运输业,"国证2000,国证Ａ指",重庆牛角沱嘉陵江大桥、长江石板坡大桥、桥梁建设维护经营管理、小区开发；嘉陵江石门大桥、南山旅游公路的经营维护、管理。
600107,ST尔雅,,,5.7,20.52,-7.48,9.44,4.49,34.75,-37.15,-30.13,-43.13,1993-12-31,1997-11-06,上交所,纺织服装、服饰业,,服装、服饰和纺织品研发、设计、制造和销售。
600108,亚盛集团,,,4.32,84.11,0.94,7.17,1.95,49.74,88.62,87.54,178.96,1995-12-06,1997-08-18,上交所,农业,"国证2000,国证Ａ指",高科技农业技术，农副产品、无机盐及其副产品的生产、批发零售等。
600109,国金证券,,,8.55,316.81,1.7,10.64,0.88,9.06,13.27,13.91,11.44,1988-07-20,1997-08-07,上交所,资本市场服务,"ESG 300,国证Ａ指,巨潮中盘,上证380,中证500",证券（含境内上市外资股）的代理买卖、还本付息、承销、咨询等
600110,诺德股份,,,9.27,160.85,-1.08,10.88,2.85,161.86,-72.87,-53.89,100.31,1989-08-23,1997-10-07,上交所,计算机、通信和其他电子设备制造业,国证Ａ指,热缩材料、高分子材料，电力电缆附件，电子细管，通讯电缆附件。
600111,北方稀土,,,47.16,1704.87,5.94,63.57,6.91,100.98,75.73,75.73,75.73,1997-09-12,1997-09-24,上交所,有色金属冶炼和压延加工业,"国证Ａ指,沪深300,巨潮大盘,上证180,上证50,中证A100,中证新兴",稀土精矿、稀土深加工产品、稀土新材料生产与销售。
600113,浙江东日,,,45.97,189.13,3.91,68.75,7.75,223.5,134.4,134.4,134.4,1997-10-06,1997-10-21,上交所,商务服务业,"国证2000,国证Ａ指",实业投资，市场租赁经营。
600114,东睦股份,,,32.86,202.54,8.86,37.22,5.82,73.86,37.73,38.72,41.21,1994-07-11,2004-05-11,上交所,金属制品业,"国证2000,国证Ａ指",设计、生产、销售各种粉末冶金制品。
600115,中国东航,670.0,中国东方航空股份,4.46,759.31,-0.67,6.48,7.76,19.25,-60.33,-60.33,-60.33,1995-04-14,1997-11-05,上交所,航空运输业,"国证Ａ指,沪深300,巨潮大盘,中证央企",经营民航业务，包括客运、货运、邮运、旅游服务及其他延伸的航空业务。
600116,三峡水利,,,6.7,128.11,1.88,7.52,1.13,1.81,27.11,29.39,99.08,1994-04-28,1997-08-04,上交所,电力、热力生产和供应业,"国证2000,国证Ａ指,上证380,中证央企",发电、供电。
600117,西宁特钢,,,2.6,84.63,-10.68,5.18,2.1,26.21,-8.28,-9.81,-11.3,1997-10-08,1997-10-15,上交所,黑色金属冶炼和压延加工业,国证Ａ指,特殊钢冶炼及压延。
600118,中国卫星,,,102.0,1206.14,0.04,127.77,19.07,288.57,7104.99,3392.15,-706.33,1997-08-21,1997-09-08,上交所,计算机、通信和其他电子设备制造业,"国证Ａ指,巨潮中盘,上证380,中证500,中证央企",卫星应用运营服务、卫星及卫星应用产品和基础的研制、系统集成。
600119,长江投资,,,5.9,21.55,-12.6,9.9,18.06,-26.62,-35.03,-28.77,-110.79,1997-11-28,1998-01-15,上交所,道路运输业,国证Ａ指,区域商贸综合开发、产业投资及商业、物贸、仓储、进出口贸易等。
600120,浙江东方,,,5.76,196.73,1.61,7.7,1.19,-1.08,21.05,21.05,21.05,1994-10-26,1997-12-01,上交所,其他金融业,"国证Ａ指,巨潮小盘,上证380",以纺织品出口为主的商贸流通业务，信托、期货、保险等领域。
600121,郑州煤电,,,4.18,50.93,-5.97,6.08,5.43,10.58,-5.49,-5.49,-5.49,1997-11-13,1998-01-07,上交所,煤炭开采和洗选业,"国证2000,国证Ａ指",煤炭生产及销售等。
600123,兰花科创,,,6.6,97.23,-0.66,7.6,0.64,-6.65,-16.19,-18.01,-88.53,1998-12-08,1998-12-17,上交所,煤炭开采和洗选业,"国证2000,国证Ａ指,红利指数,上证380,中证红利",煤炭、型煤、型焦、建筑材料的生产销售。
600125,铁龙物流,,,6.11,79.77,5.05,7.18,1.05,9.69,15.19,15.19,15.19,1993-02-16,1998-05-11,上交所,铁路运输业,"国证2000,国证Ａ指,中证央企",铁、公、水路运输服务，仓储，混凝土生产，房地产开发。
600126,杭钢股份,,,10.43,352.24,0.07,11.82,1.81,-7.37,1459.22,1459.22,1459.22,1998-02-26,1998-03-11,上交所,黑色金属冶炼和压延加工业,"国证Ａ指,巨潮小盘,中证500",钢、铁（包括压延）、焦炭、耐火材料、化工产品、有色金属、矿产品等。
600127,金健米业,,,6.91,44.35,0.18,7.8,6.61,1.92,1175.45,1175.45,1175.45,1998-04-27,1998-05-06,上交所,农副食品加工业,"国证2000,国证Ａ指",开发、生产、销售粮油及制品、饲料及饲料原料、新型食品、食品包装材料。
600128,苏豪弘业,,,10.5,25.91,1.14,13.1,1.23,4.37,54.75,54.75,54.75,1994-06-30,1997-09-01,上交所,批发业,国证Ａ指,经营工艺品等商品进出口业务。
600129,太极集团,,,15.96,88.01,0.84,25.51,2.51,-21.69,72.99,72.99,72.99,1993-11-18,1997-11-18,上交所,医药制造业,"国证2000,国证Ａ指,上证380,中证央企",中成药、西药、保健用品等。
600130,*ST波导,,,4.61,34.58,0.76,4.84,3.6,61.75,658.48,658.48,658.48,1995-07-27,2000-07-06,上交所,计算机、通信和其他电子设备制造业,,移动电话的研发、生产和销售；机动车定位器、人脸识别及实名认证装置等智能设备的生产和销售。
600131,国网信通,,,18.5,221.24,4.58,24.13,3.41,2.33,32.69,32.69,32.69,1997-01-05,1998-04-02,上交所,软件和信息技术服务业,"ESG 300,国证Ａ指,巨潮小盘,上证380,中证500,中证央企",新型信息通信业务。
600132,重庆啤酒,,,53.26,257.76,23.18,59.85,18.72,-2.1,20.94,20.94,20.94,1993-12-23,1997-10-30,上交所,酒、饮料和精制茶制造业,"ESG 300,ESG 40,国证Ａ指,巨潮小盘,上证380,中证500",啤酒生产。
600133,东湖高新,,,9.05,96.49,2.37,11.75,1.1,1.51,25.05,18.27,95.63,1993-03-19,1998-02-12,上交所,生态保护和环境治理业,"国证2000,国证Ａ指",环保科技和科技园区业务。
600135,乐凯胶片,,,10.77,59.59,-2.7,13.48,2.5,54.74,-60.36,-60.36,-60.36,1998-01-16,1998-01-22,上交所,化学原料和化学制品制造业,"国证Ａ指,中证央企",光伏材料、医疗材料、影像材料、锂电材料料。
600136,ST明诚,,,1.79,34.78,-2.56,2.35,16.14,-13.53,-158.24,-231.22,-433.25,1992-10-31,1998-03-03,上交所,广播、电视、电影和录音制作业,,影视传媒业务及体育业务。
600137,浪莎股份,,,22.79,22.16,4.03,27.01,4.08,54.89,80.67,94.67,84.79,1996-12-26,1998-04-16,上交所,纺织服装、服饰业,国证Ａ指,针织内衣、针织面料的制造，商品批发与零售。
600138,中青旅,,,9.14,66.16,1.14,10.72,1.04,-8.78,78.87,78.87,78.87,1997-11-25,1997-12-03,上交所,商务服务业,"国证2000,国证Ａ指,中证央企",旅游及相关服务业务。
600141,兴发集团,,,32.72,393.21,3.1,45.49,1.8,69.8,26.35,26.35,26.35,1994-08-17,1999-06-16,上交所,化学原料和化学制品制造业,"国证Ａ指,巨潮小盘,上证380,中证500",磷矿石开采及销售，精细磷酸盐、磷肥、有机磷农药、有机硅及电子化学品等化工产品的生产和销售。
